TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0.47449,0.450164,1.60916,0.646888,0.0117793,1.44361,1.19631,0.180114,0.270381,0.236176,1.52781,0.262757
0.139319728,1.50243,0.11394,1.39732,0.598492,0.118756,1.07308,0.131501,0.434045,0.802231,0.173781,1.88105,0.215134
0.185759637,1.63031,0.243525,1.17474,0.680201,0.104236,1.32824,0,0.453958,0.491633,0.0429585,1.97215,0.300299
0.232199546,1.39769,0.172865,1.20396,0.62436,0.0290553,1.85225,0.00598397,0.14175,0.426829,0,2.53984,0.328828
0.278639456,0.819251,0.0401119,1.51622,0.337597,0.0152163,2.25664,0,0.0664161,0.41422,0,3.15245,0.354039
0.325079365,0.276522,0,1.7803,0.25405,0.0182026,2.60535,0.0103168,0.013483,0.314853,0,3.51189,0.372689
0.371519274,0.184622,0,1.8088,0.0316135,0.102699,2.70641,0.0337613,0.139587,0.373972,0,3.82153,0.355218
0.417959184,0.257769,0.0910335,1.89513,0.116002,0.0161632,2.60679,0.0393173,0.165827,0.520063,0,3.69907,0.28129
0.464399093,0.621708,0.22854,1.9535,0.277065,0.00672536,2.39458,0.00532186,0.169624,0.521006,0,3.75394,0.147249
0.510839002,0.787492,0.0734902,2.10708,0.321968,0.0264107,2.41549,0,0.0405063,0.541437,0,3.86248,0.0999692
0.557278912,0.721398,0.136581,2.12604,0.318207,0.0755102,2.38636,0.0262397,0.0338399,0.512128,0.0939894,3.81274,0.00360577
0.603718821,0.48403,0.227358,1.72282,0.267013,0.0906914,2.22195,0.0465319,0.224451,0.251611,0.0855395,3.88518,0.104698
0.650158730,0.543125,0.214286,1.39729,0.04124,0.0889661,1.90732,0.0153503,0.371424,0.0558818,0.0571571,4.1054,0.242762
0.696598639,0.611177,0.219189,1.45285,0.0510302,0.22719,1.87637,0.0308517,0.401181,0.0429116,0.0145906,3.87003,0.243108
0.743038549,0.853353,0.187171,1.57804,0.0525932,0.155206,1.89466,0.0367359,0.201584,0.260944,0.00757766,3.55926,0.209215
0.789478458,1.08551,0.0822188,1.77346,0.0479601,0.0198122,1.80977,0.00944696,0.0470143,0.573013,0,3.48114,0.246765
0.835918367,1.03942,0.026557,1.80645,0.0461294,0.20449,2.22737,0,0.0769321,0.347484,0,3.17024,0.349845
0.882358277,0.792209,0,1.79929,0.030608,0.366238,2.1648,0.0994114,0.190277,0.305811,0,2.87537,0.369761
0.928798186,0.643114,0,1.85141,0.0520724,0.345951,2.06435,0.158334,0.335543,0.333321,0,3.05269,0.405576
0.975238095,0.446646,0.0592059,1.90131,0.168325,0.0453406,2.14518,0.0834441,0.242776,0.156312,0,3.36565,0.481109
1.021678005,0.347534,0.0602682,1.8171,0.254573,0.0358076,2.25607,0.0208117,0.0851879,0.158747,0.0208638,3.42727,0.425053
1.068117914,0.458252,0.0640313,1.60205,0.115914,0.0668663,2.05647,0.0466394,0.0490628,0.122009,0.0326699,3.63443,0.308564
1.114557823,0.574478,0.029146,1.35494,0.0522636,0.0276378,1.89167,0.374053,0.409377,0.114259,0.0193,3.51272,0.283559
1.160997732,0.786252,0.177594,1.12874,0.0311216,0.0348977,2.24329,0.17707,0.650115,0.126052,0.110094,3.24662,0.406556
1.207437642,0.835879,0.202256,1.43484,0.0459562,0.0344961,2.59024,0.0828526,0.54394,0.162233,0.139526,3.14001,0.432697
1.253877551,0.728576,0.264949,1.69926,0.0330308,0.0317349,2.52166,0.0831517,0.252415,0.115473,0.00978624,3.45531,0.188914
1.300317460,0.592286,0,1.61176,0.0266578,0.214309,2.63325,0.0154295,0.143149,0.052091,0,3.92417,0.145749
1.346757370,0.427851,0.00857772,1.47333,0.0447586,0.288496,2.63945,0.0117262,0.286394,0.0872322,0,3.90518,0.057436
1.393197279,0.474285,0,1.41939,0.126367,0.211504,2.77628,0.00869937,0.596108,0.379826,0,3.38487,0.0680906
1.439637188,0.709916,0,1.27508,0.287897,0.115822,2.65761,0.00761561,0.572103,0.525993,0,3.07722,0.164676
1.486077098,0.767729,0,1.39049,0.310877,0.0685205,2.64162,0.00631181,0.423866,0.249054,0.0013495,3.22726,0.163526
1.532517007,0.722126,0.0571983,1.51864,0.0401075,0.246355,2.58521,0.154388,0.153591,0.123592,0,3.45233,0.0808963
1.578956916,0.686463,0.177289,1.42117,0.0533188,0.144562,2.64649,0.054806,0.0223692,0.187141,0,3.28845,0.118419
1.625396825,0.812106,0.319033,1.40639,0.00494327,0.0658974,2.71862,0.00476618,0.00279231,0.331796,0,3.13902,0.134743
1.671836735,0.924674,0.211811,1.70222,0.10558,0.0687944,2.92152,0.0091124,0.0232258,0.47754,0,3.03691,0.106695
1.718276644,0.889192,0.085668,2.029,0.252707,0.0309657,2.7292,0.0156169,0.0380501,0.453824,0,3.00714,0.252769
