TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-536.611,1.39171,19.1318,1.25343,4.95951,-3.69196,2.14981,-0.606481,0.0689458,-2.6882,2.99207,-0.0829535,1.22951,0.424185,1.25321,-0.12998,1.58292,-0.733345,1.82783,-1.20533,1.25867
0.023219955,-503.553,-15.7719,15.5364,4.77421,6.47124,1.70925,7.05345,1.76895,3.64892,-1.2209,0.101752,0.667379,2.29129,-2.26097,-2.79274,-2.79263,0.494032,-0.364546,2.57561,1.38181,3.03159
0.046439909,-500.637,-9.40734,18.0116,4.82494,5.7244,0.747736,4.10722,1.51545,2.31882,2.49093,4.38537,0.608727,2.10837,-0.796595,0.334178,-0.700839,0.843065,-1.09178,-0.738365,-2.39892,0.540076
0.069659864,-503.793,-15.226,16.1913,5.72431,7.3728,0.283259,3.27399,-1.15557,3.02494,0.799015,2.02904,-1.80439,0.637923,-1.21768,-1.52235,-0.829416,2.92395,1.39416,1.49912,-0.378515,0.498401
0.092879819,-503.987,-13.4357,17.0707,4.65021,10.0729,4.09199,5.98841,3.08611,5.04117,2.0912,2.50563,0.189418,1.78202,-2.08927,0.894421,0.055094,1.39828,-0.805199,2.49494,0.978524,-0.862907
0.116099773,-503.179,-13.3545,15.9717,5.18815,8.43885,1.83583,5.22829,2.81573,4.57697,1.34382,4.7979,-0.36259,0.631108,-1.5975,-0.43168,-3.09118,0.37081,0.589714,3.3193,0.609464,0.707445
0.139319728,-443.331,-2.90094,16.8474,6.25433,1.85046,-1.47197,0.311629,1.73768,3.47885,4.67101,-0.464802,-1.97713,1.27705,0.560302,1.71156,0.0976148,-0.919294,-0.11121,3.72743,1.84054,0.757377
0.162539683,-331.728,25.8876,-8.37682,-16.5594,-1.18006,-1.37337,-4.15673,1.87182,7.57379,-0.0388593,-2.79363,-4.35277,-4.49675,-1.97699,-1.39718,0.732371,-1.71791,-2.11352,-0.0380418,-1.42881,-0.310689
0.185759637,-274.98,40.2291,-19.2716,-7.12765,3.76521,-3.81448,-2.62128,-3.01331,-0.721882,0.110942,-3.26413,-4.16413,-2.55579,-0.85748,1.55544,-0.944143,-2.67536,-4.18071,-4.37846,-2.64472,-1.32903
0.208979592,-262.368,36.731,-21.6544,-3.14919,2.2131,-4.43294,-3.4236,-1.03121,3.0094,-0.989223,-2.20708,-1.13339,-6.28842,-3.52097,-1.98607,-3.13539,-2.5409,-1.84948,-0.675046,-0.66276,-1.2742
