TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,1.38578,0.396072,0.390266,1.01854,0.429472,0.559132,0.908197,0.346691,0.77735,0.610021,0.373389,1.27902
0.928798186,1.80886,0.000979815,0.0601175,1.47099,0.915087,0.284864,0.345215,0.400198,0.768126,0.359624,0.399985,1.19745
0.975238095,2.19498,0.0107873,0.126088,1.3057,0.723168,0.0932864,0.29507,0.880807,0.358993,0.521773,0.0458743,1.29217
1.021678005,2.27545,0.00630009,0.13252,0.984771,0.996593,0.119399,0.198252,1.22202,0.274782,0.256671,0.0471043,1.43793
1.068117914,2.05304,0.0877773,0.361841,0.516778,1.42543,0.151887,0.0144254,1.58105,0.176519,0.120817,0.047102,1.60284
1.114557823,1.91709,0.221833,0.655988,0.439065,1.84887,0.00658774,0.0052756,1.78706,0.0761852,0.0726391,0,1.28513
1.160997732,2.12539,0.223999,1.00798,0.528149,1.991,0.000734471,0.0300837,1.83894,0.0455928,0.0266178,0.0280674,0.687224
1.207437642,2.10902,0.170661,1.18134,0.244465,1.85492,0,0.0174132,1.97605,0.00316273,0,0.346076,0.707109
1.253877551,2.18171,0.0733227,0.97078,0.0484347,1.48774,0.0511555,0.0532212,2.22247,0.0749197,0,0.482044,0.858093
1.300317460,2.3054,0.0144503,0.553584,0.136229,1.19118,0.123545,0.0871056,2.30815,0.162903,0,0.319893,0.828984
1.346757370,2.41108,0.0332959,0.348865,0.15757,1.20977,0,0.0735017,1.86917,0.531852,0,0.485956,0.668195
1.393197279,2.40211,0.0437737,0.356577,0.142223,1.2842,0.0215667,0.112349,1.3107,0.791014,0.0491946,0.929713,0.287991
1.439637188,2.47959,0.172821,0.158322,0.127953,1.46723,0.200133,0.114193,1.56158,0.415903,0.100803,1.17011,0.145484
1.486077098,2.78376,0.161263,0.223747,0.125618,1.49447,0.242608,0.066798,1.85332,0.258377,0.0468918,1.06642,0.179092
1.532517007,2.80228,0,0.371019,0.103156,0.912931,0.299599,0.11312,2.13573,0.332649,0,0.521364,0.451836
1.578956916,2.53461,0.0661204,0.963454,0.032943,0.845587,0.11076,0.0937666,2.33595,0.254998,0,0.415062,0.594435
1.625396825,2.31042,0.00548634,1.20562,0.0385198,0.981595,0.106704,0.277339,2.36824,0.136307,0,0.44913,0.559019
1.671836735,2.0563,0,1.29481,0.107064,1.08678,0.101457,0.494094,2.16718,0.101593,0,0.349075,0.739055
1.718276644,1.86712,0,1.19625,0.243323,1.03534,0.0166246,0.379887,2.1659,0.132125,0.0296171,0.599248,0.784875
1.764716553,2.19019,0,1.04209,0.538485,1.44637,0.0703827,0.314177,2.10689,0.125216,0.278263,0.647916,0.464373
1.811156463,3.12528,0,0.602651,0.662386,1.61599,0.0522716,0.287669,1.875,0.00237614,0.317697,0.6457,0.312589
1.857596372,3.45985,0,0.381181,0.660147,1.60701,0.0445759,0.248731,1.79347,0.0728021,0.054601,0.596657,0.256474
1.904036281,3.32121,0,0.400291,0.404352,1.51387,0.0236776,0.0464363,1.89682,0.0822812,0,0.72123,0.233337
1.950476190,3.32034,0.0262893,0.28626,0.41173,1.63607,0,0.0354453,1.99778,0.0276773,0,0.643025,0.306997
1.996916100,3.22664,0.0251823,0.432118,0.240803,1.63048,0.143694,0.0523616,1.85485,0.11132,0,0.308133,0.652333
2.043356009,2.44735,0,0.715912,0.108459,0.572141,1.29743,0.168542,1.29734,0.657669,0,0.134021,1.36601
2.089795918,1.80429,0.000393862,1.02561,0.252679,0.273544,1.48918,0.707731,0.530297,0.704799,0.00153032,0.418092,1.42241
2.136235828,1.72646,0.00241099,1.15589,0.177177,0.206648,1.65843,0.859338,0.738788,0.714211,0.00516875,0.791158,1.04103
